项目名,发布人,发布时间,项目状态,详情,抓取时间
市场/运营/文案写作,辽宁小众农业发展有限公司,2018-03-02 15:09:10,已完成,1 产品文字整合 包装 2 品牌介绍文字包装 3 基地介绍,2018-08-27 21:40:21.239183
设计/UI设计,装事儿科技（北京）有限公司,2018-03-01 16:06:44,已完成,"这是一个为本公司的微商城（有赞平台）设计的PC端，由于有赞没有PC端，所以自己设计了一个PC端，需要找UI设计（当然能把前端一起搞定的团队也可联系我）。
微商城公众号：猫东家。
主要页面：
1、首页
2、商城页
3、帮助
4、快速了解我们
5、关于我们
6、新闻

关于商品：不需要制作商品购买流程，只需要简单的商品详情页，参考：https://detail.youzan.com/show/goods?alias=2ostj21lah6om&activity=",2018-08-27 21:40:21.242219
设计/其他设计,三芒世纪（北京）科技有限公司,2018-03-05 08:52:00,已完成,"一、PPT内容已全，需要重新整理里面内容；
二、加上公司logo，重新优化内容格式
三、重新优化PPT设计；
四、要求PPT制作出来精美、简洁",2018-08-27 21:40:21.288033
开发/后端开发,个人,2018-03-05 19:00:25,已完成,"1、爬取天猫商品详情页图片，爬取图片或者图片地址都可以，
2、仅限于使用java、python语言，
3、需要提供源码；",2018-08-27 21:40:21.294210
开发/APP开发,武汉顽童科技,2018-03-09 10:47:55,已完成,"一、项目描述
“顽童星球”是一款玩具媒体APP，用户可以通过她来了解玩具的动态、玩法、与志趣相投的人交流、查看最新的优惠信息等等...目前已完成android版本开发，IOS界面与android界面一致

二、主要功能点
视频压缩上传、扫码识别、文章展示、文章评论、点赞、视频播放、动态展示、WEBVIEW交互、网页唤醒...

三、开发人员要求
1.熟悉OC、IOS界面开发、HTTP协议、JSON数据格式、WEBVIEW交互、IOS内存控制、相机调用（扫码、拍照、视频录制）相关接口
2.有成熟作品案例",2018-08-27 21:40:21.359949
设计/平面设计,上海相须文化创意有限公司,2018-04-24 17:09:13,已完成,"一、项目描述：

一家特色茶饮店和体验空间的平面设计，包含物料、海报、产品包装的设计，以平面为主。已经有确定的vi规范和品牌风格，在此基础上做延伸设计即可。

二、人员要求：

1、有成熟的设计经验
2、具有较高的审美格调
3、关注市场，了解同类产品
4、良好的沟通能力和契约精神",2018-08-27 21:40:21.363380
设计/UI设计,名厨APP,2018-04-27 11:32:26,已完成,"一、项目描述
我们的APP已运营一年多的时间，现计划对APP内直播模块（直播课程为主）做整体改版，因公司内部设计资源冲突，所以计划将此模块整体外包。

二、主要功能点
直播聚合页面、直播介绍详情页、直播间页面、直播回放页面

三、设计要求
因APP整体风格已确定，所以直播模块页面相当于在已有风格的情况下，做延伸设计，保持整体设计风格和体验的一致性

四、人员要求
1、有充足的时间和精力完成设计
2、良好的沟通能力和契约精神",2018-08-27 21:40:21.366784
开发/后端开发,北京缪斯时代科技文化有限公司,2018-04-26 11:41:13,已完成,"项目是课程预约类的公众号，现在服务端亟待优化。主要要求如下：
一、主要工作需要先将后端代码review。
二、配合前端完成优化工作
三、优化服务端性能，具体参考某h5的性能指标
四、优化代码结构，删除冗余代码及api
希望来的大神们懂javaspring、beetlesql，有很多的后端性能优化经验~~~",2018-08-27 21:40:21.393074
设计/UI设计,湖南七三七信息科技有限公司,2018-05-02 15:46:43,已完成,"项目需求：

两个页面，一个首页，一个点餐页。

首页分为三大模块，第一模块有餐厅logo，营业时间，人均消费等信息。第二模块，特色菜滚动传播。第三块，文字介绍，以及图片展示。",2018-08-27 21:40:21.457714
设计/UI设计,湖南七三七信息科技有限公司,2018-05-14 16:23:55,已完成,"1.需求：对已经上线的小程序〖九天家私王仙生活馆〗两个页面进行优化，期望达到的效果是大气简洁上档次。
2.待优化的两个页面分别是：商城首页、产品详情页
3.商城首页待优化的地方包括但不限于：顶部搜索、商城列表展示、商城标题字体大小以及颜色
4.产品详情页待优化的地方包括但不限于：运费、库存栏优化
5.其他具体细节，进一步与设计师详细沟通",2018-08-27 21:40:21.495143
